a1, a2, a3
0.04943848, -0.02661133, 0.9656372
0.1107788, -0.03430176, 0.9755859
0.1325684, -0.03125, 0.9719849
-0.01135254, -0.02612305, 0.965271
-0.008056641, -0.02807617, 0.9680176
-0.01367188, -0.02398682, 0.9654541
-0.008117676, -0.02642822, 0.9685669
-0.008911133, -0.02392578, 0.9664917
-0.006713867, -0.02435303, 0.9677734
-0.003417969, -0.02398682, 0.9684448
0.06811523, -0.00402832, 0.9688721
0.02282715, -0.05010986, 0.9645996
0.01312256, 0.01165771, 0.9658813
-0.1691895, -0.03814697, 0.9641724
0.02355957, -0.01745605, 0.9683228
0.04748535, -0.03259277, 0.9694824
-0.003112793, -0.02386475, 0.963501
-0.001953125, -0.02648926, 0.9685669
0.02252197, -0.003417969, 0.9741821
-0.01409912, -0.01837158, 0.9661255
-0.005859375, -0.0256958, 0.9669189
-0.02026367, -0.02374268, 0.9577026
0.0005493164, -0.01348877, 0.9714966
-0.01605225, -0.0513916, 0.9241333
0.05633545, -0.1106567, 1.139832
-0.01849365, -0.01635742, 1.149536
-0.1061401, -0.03112793, 0.793396
-0.06268311, -0.152832, 0.8743286
-0.08154297, -0.05596924, 0.8331909
-0.03198242, -0.1063843, 0.7339478
-0.03509521, -0.1657715, 0.5886841
0.08276367, 0.08465576, 1.385071
0.4290161, -0.1862183, 1.994568
0.09777832, 0.09674072, 1.327515
-0.01367188, -0.07067871, 0.4663696
-0.07818604, -0.09161377, 0.03277588
0.04833984, 0.1235352, 1.190979
0.1242065, 0.03735352, 1.791809
0.07702637, 0.1033936, 1.504089
0.00201416, 0.1107178, 0.8099976
-0.01165771, -0.2576294, -0.034729
0.03826904, -0.03765869, 0.3857422
-0.04858398, 0.004943848, 1.401611
0.232605, -0.1233521, 1.999939
-0.009216309, 0.2585449, 1.095642
0.003540039, -0.08990479, 0.1350708
0.01947021, -0.1032715, 0.119751
-0.1470947, 0.1808472, 1.169189
0.02270508, -0.2258911, 1.905518
-0.04193115, 0.08728027, 1.305054
0.009277344, -0.02545166, 0.4923096
0.05633545, -0.1459351, 0.08288574
-0.05853271, -0.1398315, 0.9788208
0.208252, -0.04675293, 1.269714
0.05706787, 0.08062744, 0.8991089
-0.001953125, -0.03125, 0.9655151
-0.002868652, -0.03857422, 0.9674683
-0.01599121, -0.02996826, 0.9642334
-0.0880127, -0.0513916, 0.9657593
